accountId,accountNumber,name,customerTypeCode,paymentTermsCode,paymentTermsDays,parentAccountId,isICO,stateCode,VATIdentificationNumber,address1Country,bankAccountNumber
968,5321503095,Gembucket,0904-6098,9986998883,35,720,false,2580-164,Ford,1370 Harper Lane,tz1VHyYWSmeMHztVXg6rTzhjJ5LQpiEW5QN4
614,0260026387,Zontrax,37808-363,5878627140,46,799,true,3060-323,Nissan,474 Talmadge Terrace,tz1W3KSddCpm7XAxt4fHZsZpwvHKWPp9B8iG
979,2377408591,Bitchip,63509-002,6962184484,36,994,false,,Chrysler,98829 Melvin Point,tz1S37BaUaobmNedv3pnhpUVZ5T23SB5gJnj
883,5533350357,Zontrax,57344-126,9561823721,54,12,false,,Chrysler,25 Brickson Park Junction,tz1eMzRvs61C3JM5PUXLowMcHVTdRLckhqPZ
918,8719561903,Tresom,57520-0139,6952696474,63,212,false,,Mercedes-Benz,4548 2nd Trail,tz1L5dLu5Gc8Q968kcDo28c3w9cWKLDY9yrK
802,4233476281,Andalax,0378-7186,0019711956,59,291,false,,Mitsubishi,13 Canary Circle,tz1XEmoetrYaNuaUo39SkFyAaKmoYVb8GKx4
202,9422774039,Solarbreeze,48951-8030,9293109484,38,477,true,3505-559,Mazda,31 Briar Crest Plaza,tz1dSzgan2ZXZcn5sQCnGzDd3HnyamBKYUnY
303,6843173721,Pannier,42254-142,7771017088,36,59,true,,Mercedes-Benz,166 Gulseth Park,tz1fjriUQSEa9pe7mhk1Z7W8RnQbhUiwW38E
205,0544505727,Bitchip,0409-3182,1288471602,56,532,true,520-0111,Ford,76634 Talisman Park,tz1P4PniFrLRXDJta66VUP2JnrgSGwJ8tnho
193,8601654983,Biodex,62584-988,3114964621,60,459,true,87560-000,Dodge,58888 Lotheville Center,tz1hFp35w2dWzRiKoFrv8fmVWipJNL7JgmcJ
220,8607556541,Asoka,36987-1633,0963054376,33,827,true,6433,Chevrolet,27455 Arrowood Way,tz1bE2JufXix5UdUhNsqea9W49PQSxbojyc3
755,0128737549,Fixflex,27281-010,6299484748,64,760,false,,Mitsubishi,82 Holmberg Avenue,tz1TxzwQQyg6Nf4AWsC6p3p91SUHc8dtE13G
18,4850614647,Redhold,55312-369,1013656776,48,901,true,2509,Audi,54140 Monument Place,tz1YoZA9hzecTp59un2FUrLLiTY37AoT5WKo
669,8842693073,Bitchip,63940-224,3298050458,86,901,false,7031,Chevrolet,7183 Macpherson Alley,tz1PcVaouPcRRjs8uW9uQEz7vqdwjCdEmXZt
435,9271508556,Keylex,41250-199,9905040595,65,895,false,74900-000,Ford,829 Nelson Junction,tz1hQMmyQzPNm8tedCF5UULLB1pwGgzDF9Zj
741,9220245574,Mat Lam Tam,70253-175,3792619687,33,376,false,2430-604,Chevrolet,00079 Hudson Junction,tz1gpfZXjS9KVQsWtYpbQX3ca36cTm5cDnGE
508,7223576871,Tin,54868-5245,7582044061,45,205,true,6265,Saab,634 Talisman Hill,tz1bDabTFefaKiursdUdo2Rv8jUtThtuucGh
469,6338695422,Y-Solowarm,65084-459,7984125481,33,709,true,,Chevrolet,1006 Clarendon Parkway,tz1fe9jK81JvDLHXht6RDtV31DQvXToygmLr
973,7106850926,Stronghold,41190-622,9855751809,89,574,false,621 22,Chevrolet,54 Crownhardt Pass,tz1XBFsQwiC46bSNxbMwajkCERwFNfY5L6iF
591,0852365705,Konklab,52533-124,9261137660,79,544,false,,GMC,043 Ryan Pass,tz1U3BKtkgL8wgHbXiEmq6K299QJLTZboRcM
462,1677052090,Daltfresh,11673-407,7713540679,43,146,true,,Dodge,4993 Roxbury Road,tz1XEPhaCYPgn991TpgnLZYfsHX6Wt7qvZ5o
841,7388410937,Tin,23155-065,0677432399,73,837,true,,Chrysler,28 Portage Road,tz1h1rj8ckrSY4Ra8nDbFDG4PDfM3YHNDmP2
726,2277804282,Ventosanzap,0071-1013,5800276544,86,7,true,,Mazda,690 Crest Line Pass,tz1cj8wHJskMbaGWfsH6FSK7e3GwBWyM2Grf
917,6658637725,Konklux,49884-236,9647745958,73,177,true,K4K,Nissan,08849 Jay Terrace,tz1bJvBS5GZDxBTNbgFoSKpkMmzEtmEhPb9y
563,0560256361,Flowdesk,44946-1021,2180587481,67,553,true,112 83,Dodge,652 Johnson Terrace,tz1SUh4v7pNxmNgNz4yGLt6s6aMWXd6ZgwXj
223,2500569691,Zaam-Dox,60681-2701,7129002492,60,582,false,1105,Chevrolet,2127 Ohio Plaza,tz1hLs2gwSqagKN7BPsNBKiu9Bh7bpo3qD1c
613,0205695833,Stronghold,0113-0160,3343819506,69,881,false,,Volkswagen,95623 Crowley Terrace,tz1LD25TFBHwFUcH62boSGGgfeZGg4hkBzLL
150,9821784437,Overhold,55910-580,7579534584,31,328,false,38700-000,Chevrolet,7619 Vahlen Road,tz1YVDZwBEVfLZY1mY9XG4HkRygbS1Sjd9ku
496,3331502197,Voyatouch,59762-0170,3409490779,39,437,true,216486,Oldsmobile,50793 Bowman Center,tz1Nc7xzLnsTKwmfCGKxTBngA5giHjqSX9ot
324,0078557976,Otcom,55154-5475,9362421380,56,731,false,,Audi,283 Packers Circle,tz1bip97TRnZ5J9FgTBdRHkVCq1QmEkoKA89
939,4255880743,Asoka,49738-110,8756637497,67,955,true,,GMC,12928 Vahlen Street,tz1dQRQtxBsYspjhLGiZVRCXRL6PQjXLc6mr
512,0404757790,Home Ing,19392-130,8416730555,85,276,false,351 88,Chevrolet,249 Packers Pass,tz1V6YVBtzn1sJVgjqB7Qj4fMU4c1MHdCEac
885,9176224465,Opela,40046-0045,8761438251,55,670,true,3116,Ford,48356 Surrey Place,tz1TXYFTH5SGQt5TqJ38m52MAqYAmLjgQtR5
591,5963035678,Bigtax,41250-441,4148763395,80,609,false,3318,Ford,15 Comanche Drive,tz1g8puwmT6cAPPZckokunwrLCLf5fZ46YMR
864,0904901114,Cookley,67544-747,6755447064,62,105,true,,Volkswagen,51 Forest Park,tz1iELSXDcxenQzkgPTFUr9R4V8NvSnBqTXP
874,2045457257,Asoka,36987-2049,0116474114,42,763,true,,Dodge,733 Johnson Terrace,tz1WKopwf6G4TkZBPd1ucWi83fk2oUAxAYtt
799,8897761550,Alpha,51079-431,2912728525,35,821,false,,Mercedes-Benz,16 Arrowood Junction,tz1LoagnCcyWBNu3EMyGV7bgaes9uC3o9Jqv
379,0552928836,Duobam,55315-184,8867597590,74,800,true,,Suzuki,22867 Kings Street,tz1TBb92gvBsurrM9dYUKDQ39ANMUbRAPbaP
596,7780733505,Bitwolf,63776-694,0218553447,39,446,true,55690,Mazda,5821 Magdeline Pass,tz1dqLvTGxkcW99Sdu4n5wTKXg3Lf5QEixLg
193,6708421682,Stringtough,43857-0044,0092709524,63,633,true,69880-000,Pontiac,4 Upham Road,tz1gLrq66sjKcAJE6xg3eN8AnE1yWZaUbXSj
615,3116779066,Bamity,49738-101,0263807371,80,347,false,,Chevrolet,2 Calypso Court,tz1eiAUyguAFpTWZdhwsiRdLjCXgQBa5Ckxb
602,3746198453,Regrant,66559-1473,0450906345,67,370,true,4407,Mercedes-Benz,37 Bonner Parkway,tz1NKDduACu2GPBhaH1ARnntNAhdx2GjXzRd
295,1902512537,Job,36800-266,3002178926,88,856,false,6276,Chevrolet,44 Morningstar Court,tz1WKqGukx76pzZnhZH6FxwrNwxPLmTSMVBs
567,8927854217,Job,47335-531,3704330841,34,816,true,,Toyota,16252 Browning Way,tz1dEFTMPhAgVMLS3AJERM744cEZLZ3vamMJ
110,7878244499,Veribet,45046-0001,1338082795,40,980,false,,Chrysler,7 Thompson Park,tz1ZzhzFpnHTp6XWcKC8rr943iPWpuMBJ8ke
225,2472221959,Otcom,65342-1391,8028973396,82,810,true,,Maserati,4193 Wayridge Way,tz1QSG1XHsRdSBidi5M3hwwtWVGTJHQxygTW
378,7495886285,Bitwolf,64117-912,9951590454,75,27,true,,Maybach,146 Leroy Parkway,tz1ffANngmmyvRNPGz13wXgXHMbSGi9BSpwn
380,1910623989,Kanlam,0268-0856,8472571432,31,315,false,4715,Hummer,04664 Kinsman Place,tz1Y6q2QwDhzj4TbfSf4XoxerKHResLimtrT
464,7812960684,Biodex,55312-175,9003010404,54,403,true,,Cadillac,4234 Carpenter Avenue,tz1PZAB5Q4XdZJ7qxXRpmNsupqNWEXQVRjXf
450,7270020175,Viva,54181-003,7460504696,40,786,true,303580,Porsche,1288 Valley Edge Lane,tz1ads33CGJQhYv8S2zCS3YHSmuvLLDZr9Jt
606,8061738120,Fix San,63629-3183,2485578311,64,541,false,6407,Lexus,2826 Butternut Point,tz1dMqkBtGCHMbE2ty7n2pegrHNZ4p1Y1mb6
691,1175188778,Quo Lux,16590-977,5530089283,32,809,false,,Chevrolet,4288 Hermina Trail,tz1NRP8166LseFvAkqAb67zj85apYoawo7zR
493,7975222879,Daltfresh,54868-0767,5844562240,59,468,true,,Pontiac,2 Oak Center,tz1chvHMBkabQfqYjcW5952ZqwQWb44FbVuZ
744,9579424403,Veribet,68428-090,8743303692,43,28,true,,Mercedes-Benz,948 Nevada Plaza,tz1PpCKaybLo4iQH2pbd6W6rCDFZrXg2H5Xa
607,9891309517,Rank,0069-0177,0627775780,37,689,true,,GMC,065 Anhalt Junction,tz1hAWUKQ1TiaJJYS5rmgupvPAkQ7v7LSiaC
367,6379233245,Ronstring,55154-5154,4646356015,65,652,true,21320,Kia,73 Rusk Junction,tz1S6MZ83akQ77K8AmzUy89LuBJsD9yqdR8E
85,2945836041,Transcof,51991-320,4038827852,82,495,true,181410,Dodge,6743 Welch Circle,tz1Sf5BFM9j1Gpfhweq2q3HJ7MUtSeqSrzrt
412,8103281050,Bitchip,57896-184,8184953127,87,41,true,,Nissan,44 Welch Terrace,tz1WTrs2EKaAFo4MpVKSK2yxu2hfS2HZRnQw
139,9386685639,Stronghold,55714-2207,4391921669,49,201,false,7220-565,Bentley,6738 Bartillon Place,tz1N5KZe1zQbyi9TNQworC5wEJXuxdRSNbKe
895,0326007717,Flowdesk,48951-1212,2928770844,73,712,true,,Volkswagen,892 Michigan Road,tz1ZfPCB257K7t7BHw6uTWD7V3TeXXajCMdr
732,5717303912,Span,68382-544,6225214321,90,709,true,V8C,BMW,755 Westport Pass,tz1KpuVkiB9Tf5zmcvnnZVDEDdeJ6uxpV2pF
879,1390380238,Regrant,43406-0078,1179187571,86,844,false,10302,Mitsubishi,5848 Truax Terrace,tz1iEqh9UcqnEo4BRDNcPLr7vjaXc9bGWmho
231,2798231906,Subin,67457-001,7050437352,69,544,true,8513,GMC,213 Luster Plaza,tz1g5H1BjsZKaFW2QFtmKqNYpkqtjV3oR2n1
137,8532594255,Fintone,65162-572,2897470860,54,446,true,99301,Ford,3802 Laurel Avenue,tz1SCy2HFCcMTX1tm529EZVGdUtGpoJYKw33
78,2094932257,Quo Lux,68828-140,4190374903,36,880,false,88790-000,Dodge,92 Northview Junction,tz1WwBZ8SiS9V1DUsfNeFZpm1wBTB84CZK4U
462,9658555942,Viva,55154-5388,6041711675,31,189,false,691 21,Ford,0200 Blue Bill Park Pass,tz1QipTwqBPw2uHyJrMSW1mXHYbMv2Fuw9TK
549,7798413103,Konklux,13537-209,2603840339,64,450,false,,Mitsubishi,6435 Corry Park,tz1bCQfKS7GHeFh5kgYgcgmu1ctkY7NWF6op
333,7639083699,Lotstring,57955-5149,1031824928,45,646,false,H8P,Ford,5 Weeping Birch Crossing,tz1Yd3LXPivgP6LG5LTgUndg3cGer5NB6XQ5
29,9230374490,Greenlam,0173-0695,4286613739,30,232,false,9413,Mazda,9119 Carey Crossing,tz1bsNTLTpehEgdh8r59xd57BmJSvNYmoVWh
60,5403965637,Stronghold,68400-705,5013250722,66,943,false,5210-325,Nissan,446 Meadow Ridge Alley,tz1XiZZ9fTKoxAfpajHd1irWm1Gxqr6ms58z
448,3892665389,Toughjoyfax,60232-2286,4729403908,56,638,true,,Chevrolet,09571 Ridgeview Hill,tz1TcwZMkYqPxfCKg12Qu7dH8SXcoNGtECHq
921,1154668061,Cardify,76349-001,6260660065,50,594,false,,Lexus,4 Service Lane,tz1WhXdzJdxtzAC527DRjn5ci6id6gLQtmZr
794,0723940975,Flexidy,11534-156,2015117040,85,442,false,11801,Chevrolet,3 Moland Crossing,tz1hdWBbZK1UFy89uvcTNh2A6sKfhnBbHeSC
440,9818313704,Bytecard,53135-836,2666578550,47,189,true,95154 CEDEX,Dodge,04 Dahle Drive,tz1d5pgVgTR2zQaVbhyHDRMz9RZumRKJGWHu
520,4767465540,Ronstring,47593-406,8375732192,30,465,false,MD-3714,Chevrolet,47679 Roxbury Lane,tz1PvpwgwP1WzpQKJdZrYFBFb4QbhbxgVzXk
168,9985274245,Overhold,37000-761,6547851125,38,883,true,,Dodge,028 Dayton Hill,tz1da3dSqFZ8uzkD3zvvsjPsEZEUyMyrkFhr
270,9581075763,Subin,0143-9837,8631132101,32,589,true,6824,Ford,735 High Crossing Way,tz1M5CDC4wVhQb5mifigVKAHcycSXr7GJenc
925,0268778280,Redhold,42507-467,1605989177,79,332,true,131048,Hummer,1 Badeau Junction,tz1YQhP32BcamrhY21BtSQs8C238WWdfd65A
896,1605243930,Subin,0904-0428,9232779331,79,848,true,9754,Mazda,34 Rutledge Point,tz1WzdrqXgDxPG66zB1RsNeTncC2asvD8eFG
501,0478049668,Latlux,76237-302,2312139057,43,962,false,3224,Acura,174 Myrtle Trail,tz1cy3cwJ5mya1iwY1MuQWRbcubfprHN65So
456,3451202069,Flowdesk,63941-407,1520331088,46,382,true,94154,Volkswagen,44474 Melody Drive,tz1ch79ggeqzAU2DKTJQiQFB7b3yVjm57LxU
632,8020636897,Zamit,59779-084,9256757966,72,949,false,,GMC,4835 Lunder Junction,tz1ViCXG8DVr1rwgKoGHqToe43jPyeSc868e
